"GUID","Sub-Services","Description","Name","To Date","From Date","Program Field","Source","Status","Programx","PROPOUx","Processes","Output","Program Field Type","Service Level Description","Service Type"
"SV28.2",,,"Rent Geared to Income Housing Subsidy",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV28.3",,"A public service provided to social housing owners offering subsidies for rent for assisted housing leaseholders and occupants to meet their housing needs.","Social Housing Subsidy",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV28.4",,"A public service provided to landlords and tenants of income supported housing offering a rent supplement to cover a portion of the costs of rent.","Rent Supplement",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV29",,"A public service provided to victims of emergency incidents and hospital patients offering pre-hospital advanced medical and trauma care, and patient transfer.","Paramedic Care",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV29.1",,"An intenal service provided to paramedic care service providers offering receipt of calls and the dispatching of resources to respond to service requests.","Paramedic Call Taking and Dispatching",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV29.2",,"A public service provided to paramedic patients offering pre-hospital care by a paramedic prior to receiving hospital medical care, and includes stabilization, comfort, assessment / referral, and transport from the scene of an incident to the hospital.","Paramedic Emergency Care",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV29.3",,"A public service provided to paramedic patients offering safe transfer from / to hospital / clinic and home.","Paramedic Patient Transfer",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV29.4",,,"Paramedic Community Care",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV29.5",,,"Paramedic Standby Support",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV30",,"A public service provided to at risk individuals and their families offering consultation and assessment of the impacts of risks and choices they have in lifestyle options.","Public Health Care & Treatment",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV30.1",,"A public service provided to chronic disease sufferers and their families offering advice and assessment of the impacts of the chronic disease on lifestyle options.","Chronic Disease Consultation and Assessment",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV30.2",,"A public service provided to pregnant women offering advice on how to improve personal health during pregnancy.","Reproductive Health Consultation and Assessment",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV30.3",,"A public service provided to mentally challenged individuals offering advice on how to improve personal health and live with mental health issues.","Mental Health Consultation and Assessment",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV30.4",,"A public service provided to injury victims or candidates offering advice on how to improve personal health.","Injury Prevention Consultation and Assessment",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV30.5",,"A public service provided to substance abusers offering advice on how to improve personal health.","Substance Misuse Prevention Consultation and Assessment",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV30.6",,"A public service provided to children and youth offering advice on how to improve personal health.","Children and Youth Health Consultation and Assessment",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV30.7",,"A public service provided to vulnerable adults and seniors offering advice on how to improve personal health.","Vulnerable Adults and Seniors Consultation and Assessment",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV30.8",,"A public service provided to low income dental patients and their families offering dental / oral treatment at limited or no cost.","Oral / Dental Treatment",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV31",,"A public service provided to individuals infected with a disease offering control of the spread of the disease within the individual and to others.","Public Health Disease Control",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV31.1",,"A public service provided to individuals infected with a sexually transmitted disease offering drugs for the treatment of sexually transmitted diseases free of charge.","Sexually Transmitted Disease Control",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV31.2",,"A public service provided to victims of infectious disease offering immunization and/or treatment for infection.","Infectious Disease Control",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV32",,"A public service provided to at risk individuals offering information and promotional material recommending options for living alternate lifestyle options.","Public Health Promotion & Advocacy",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV32.1",,"A public service provided to chronic disease sufferers and candidates offering alternative lifestyle options for living with chronic disease.","Chronic Disease Promotion & Advocacy",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV32.2",,"A public service provided to chronic disease candidates and their families offering promotional and prevention awareness campaigns to educate candidates of lifestyle choices.","Chronic Disease Prevention Promotion",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV32.3",,"A public service provided to pregnant women offering prevention and promotional campaigns to increase awareness about healthy pregnancy.","Reproduction Health Promotion",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV32.4",,"A public service provided to injury victims or candidates offering prevention and promotional campaigns to increase awareness and treatment interventions.","Injury Prevention Promotion",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV32.5",,"A public service provided to mentally challenged individuals and their families offering promotional campaigns aimed at increasing awareness about how to live with mental health challenges.","Mental Health Promotion",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV32.6",,"A public service provided to children, youth and their families offeirng promotional campaigns aimed at increasing awareness about healthy lifestyles.","Child and Youth Health Promotion",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV32.7",,"A public service provided to food preparation, handling and processing operators and food consumers offering promotional campaigns aimed at informing people about how to improve food safety.","Food Safety Promotion",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV32.8",,"A public service provided to potential candidate victims of health hazards offering promotional campaigns aimed at increasing awareness of potential air, water and land quality health hazards.","Health Hazard Promotion",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV33",,"A public service provided to at risk individuals and their families offering education on how to improve their personal lifestyle options.","Public Health Education",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV33.1",,"A public service provided to chronic disease sufferers and their families offering education on how to live a productive life with a chronic disease.","Chronic Disease Education",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV33.2",,"A public service provided to pregnant women offering group education on how to improve personal health during pregnancy.","Reproductive Health Education",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV33.3",,"A public service provided to substance abusers offering group education on how to improve personal health.","Substance Misuse Prevention Education",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV33.4",,"A public service provided to school aged children and youth offering group education on how to improve personal health.","School Age and Youth Health Education",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV33.5",,"A public service provided to vulnerable adults and seniors offering group education on how to improve personal health.","Vulnerable Adults and Seniors Health Education",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV33.6",,"A public service provided to sexually active adults offering courses on safe sexual behaviour.","Sexual Health Education",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV34",,"A public service provided to business establishments offering regular inspection and enforcement of public health regulations and standards.","Public Health Inspection and Enforcement",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV34.1",,"A public service provided to food establishments offering regular inspection of establishments that serve or sell food and enforcement of regulations.","Food Safety Inspection and Enforcement",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV34.2",,"A public service offering regular inspection of water sources and surface water bodies.  The main objective of the Safe Water Program is to protect public health by ensuring that drinking water meets the health-related parameters of the Ontario Drinking Water Standards.","Water Safety Inspection",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV34.3",,"A public service provided to health hazard violators (e.g. firms emitting hazardous material into the air, water or land) and potential candidate victims of health hazards offering monitoring of air, water and land quality to ensure that it complies with provincial standards, and enforcing compliance with emission standards for violators.","Health Hazard Inspection and Monitoring",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV35",,"A public service provided to the elderly and frail adults offering accommodation and supports.","Long-Term Care",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV35.1",,"A public service provided to the general public offering referral to appropriate community/provincial contacts. Will assist in contacting where required.","Long-Term Care Information and Referral",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV35.2",,"A public service provided to long-term care recipients offering eligibility assessment and coordination of services to meet long-term care needs.","Long-Term Resident Care Case Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV35.3",,"A public service provided to long-term care recipients offering a period of accommodation for adults with various levels of care needs.","Long-Term Care Accommodation",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV35.4",,"A public service provided to long-term care recipients offering overnight accommodation and individualized care on an overnight basis.","Long-Term Convalescent Care",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV35.5",,"A public service provided to long-term care recipients offering admission to the facility for those eligible adults for up to 90 days/year.","Long-Term Care Respite Care",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV35.6",,"An internal service provide to long-term care service providers offering access to qualified volunteers.","Long-Term Care Volunteer Management",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV36",,"A public service provided to property owners offering safe removal and disposal of storm water.","Storm Water Drainage",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV36.1",,"An internal service provided to storm water drainage service providers offering design and construction of storm water drainage systems.","Storm Water Drainage System Design & Construction",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV36.2",,"An internal service provided to storm water drainage service providers offering maintenance of storm water drainage systems.","Storm Water Drainage System Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV36.3",,"An internal service provided to storm water drainage service providers offering treatment of storm drainage water.","Storm Water Treatment",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV36.4",,,"Local Drainage Improvement ",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV36.5",,"An internal service provided to storm water drainage service providers offering management and optimization of storm water drainage infrastructure over its lifespan.","Storm Water Drainage Infrastructure Lifecycle Management",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV37",,"A public service provided to property owners offering access to the amenities of trees.","Urban Forestry",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV37.1",,"A public service provided to property owners offering access to the amenities of boulevard trees.","Boulevard Forestry",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV37.2",,"A public service provided to property owners offering access to the amenities of park and open space trees.","Park and Open Space Forestry",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV38",,"A public service provided to children and their parents or guardians offering early learning opportunities to meet familiesﾒ child care needs through fee subsidies to eligible families.","Early Learning and Child Care",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV38.1",,"A public service provided directly to child care centres offering children and their parentsﾒ or guardians with a subsidy for early learning opportunities coupled with child care.","Early Learning and Child Care Subsidy",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV38.2",,"A public service provided to early childhood professionals offering a wage subsidy or wage improvement to support higher quality early learning and child care by decreasing staff turnover.","Early Learning and Child Care Wage Subsidy",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV38.3",,"A public service provided to service providers (professionals), parents and children offering education and training in literacy.","Literacy Training and Education",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV38.4",,"A public service provided to pre-school agencies offering funds to pre-school children with special needs.","Pre-School Special Needs Funding",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV39",,"A public service provided to unemployed / underemployed offering financial and employment supports.","Social Support",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV39.1",,"A public service provided to unemployed / underemployed offering financial assistance in support of subsequent employment.","Financial Assistance",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV39.2",,"A public service provided to Ontario Works Employment Support Recipients offering employment assistance in support of seeking and securing employment opportunities.","Employment Assistance",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV39.3",,"This service provides for the intake, eligibility determination, case plan preparation, case plan implementation and monitoring.","Social Support Case Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV39.4",,"This service provides additional information about the local labour market and about resources and services in the community to applicants or participants to assist them in meeting eligibility requirements or to become involved in employment measures.  This service also includes the following types of referrals to other program and service providers:
- Referrals to program partners offering LEAP Parenting Training, Basic Education, etc.
- Referrals to agencies providing programs and services external to Ontario Works.","Social Support Information and Referrals",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV39.5",,"A public service provided to crisis and outreach victims offering crisis and outreach interventions.","Crisis and Outreach Intervention",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV40",,"A public service provided to roadway users and adjacent property owners offering lighting of streets and roadways at night and other periods of darkness.  This service also includes the lighting of other public areas.","Street Lighting",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV40.1",,"A service delivery process group identified for the purpose of defining processes.","Installation and Replacement of Street Lighting",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV40.2",,"A service delivery process group identified for the purpose of defining processes.","Street Lighting Operations",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV40.3",,"A service delivery process group identified for the purpose of defining processes.","Street Lighting Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV41",,"An internal service provided to street lighting service providers offering management and optimization of street lights and appurtances over their useful life.","Street Lighting Asset Lifecycle Management",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV42",,"A public service provided to traffic violators offering compliance with traffic code, and safer roadways for roadway users.","Traffic Enforcement",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV43",,"A public service provided to incident victims and their families, property owners, and insurance companies offering mitigation of a life / property threatening incident.","Fire Rescue",,02/22/10,,"KPMG","Active","PGSV97","SVPR349, SVPR350, SVPR351, SVPR352, SVPR353, SVPR354, SVPR355, SVPR356, SVPR357, SVPR358, SVPR359, SVPR360, SVPR361, SVPR362, SVPR363, SVPR364, SVPR365, SVPR366, SVPR367, SVPR368, SVPR369, SVPR370, SVPR371, SVPR372, SVPR373, SVPR374, SVPR375, SVPR376, SVPR377, SVPR378, SVPR379, SVPR380, SVPR381, SVPR382, SVPR383, SVPR384, SVPR385, SVPR386, SVPR387, SVPR388, SVPR389, SVPR390",,,,,"Public"
"SV43.1",,,"Structure Fire Response",,02/22/10,,"KPMG","Active","PGSV98",,,,,,"Public"
"SV43.2",,,"Environmental Fire Response",,02/22/10,,"KPMG","Active","PGSV99",,,,,,"Public"
"SV43.3",,,"Vehicle Fire Response",,02/22/10,,"KPMG","Active","PGSV100",,,,,,"Public"
"SV43.4",,,"Electrical Fire Response",,02/22/10,,"KPMG","Active","PGSV101",,,,,,"Public"
"SV43.5",,,"Fuels (flammables) Fire Response",,02/22/10,,"KPMG","Active","PGSV102",,,,,,"Public"
"SV43.6",,,"Vehicle Accident Response",,02/22/10,,"KPMG","Active","PGSV103",,,,,,"Public"
"SV43.7",,,"Medical Assistance Response",,02/22/10,,"KPMG","Active","PGSV104",,,,,,"Public"
"SV43.8",,,"Rescue Response",,02/22/10,,"KPMG","Active","PGSV105",,,,,,"Public"
"SV43.9",,,"Public Assistance Response",,02/22/10,,"KPMG","Active","PGSV106",,,,,,"Public"
"SV43.10",,,"Potential Incident Investigation",,02/22/10,,"KPMG","Active","PGSV107",,,,,,"Public"
"SV43.11",,,"Agency Support Response",,02/22/10,,"KPMG","Active","PGSV108",,,,,,"Public"
"SV43.12",,,"Incident Hazard Mitigation (clean-up)",,02/22/10,,"KPMG","Active","PGSV109",,,,,,"Public"
"SV43.13",,,"Standby Support",,02/22/10,,"KPMG","Active","PGSV110",,,,,,"Public"
"SV43.14",,,"Resource Sharing",,02/22/10,,"KPMG","Active","PGSV111",,,,,,"Public"
"SV43.15",,,"Incident Cause Investigation",,02/22/10,,"KPMG","Active","PGSV112",,,,,,"Public"
"SV43.16",,,"Hazardous Materials Response",,02/22/10,,"KPMG","Active","PGSV113",,,,,,"Public"
"SV44",,"An internal service provided to fire rescue service providers offering receipt of emergency calls and dispatching of resources to respond to incidents.","Fire Rescue Call Taking and Dispatching",,02/22/10,,"KPMG","Active","PGSV114",,,,,,"Internal"
"SV45",,"A public service provided to students interested in fire prevention by offering training and awareness sessions.","Fire Safety Education",,02/22/10,,"KPMG","Active","PGSV115","SVPR391, SVPR392, SVPR393, SVPR394, SVPR395, SVPR396, SVPR397, SVPR398, SVPR399, SVPR400, SVPR401, SVPR402, SVPR403, SVPR404, SVPR405, SVPR406, SVPR407, SVPR408, SVPR409, SVPR410, SVPR411, SVPR412",,,,,"Public"
"SV45.1",,,"Fire Safety Promotion",,02/22/10,,"KPMG","Active","PGSV116",,,,,,"Public"
"SV45.2",,,"Fire Setter Counselling",,02/22/10,,"KPMG","Active","PGSV117",,,,,,"Public"
"SV46",,"A public service provided to property owners and building occupants offering compliance with the Fire Safety Code.","Fire Safety Inspection",,02/22/10,,"KPMG","Active","PGSV118",,,,,,"Public"
"SV47",,"A public service provided to zoo visitors offering access to zoological exhibitions.","Zoo",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV47.1",,,"Zoo Exhibiting and Visiting",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV47.2",,,"Zoo Product Sales and Rental",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV47.3",,,"Zoo Education and Outreach",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV47.4",,,"Zoo Special Event Hosting",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV47.5",,,"Zoo Volunteer Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV47.6",,,"Zoo Exhibit Design and Graphics",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV47.7",,,"Zoo Curatorial",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV47.8",,,"Zoo Infrastructure Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV47.9",,,"Zoo Animal Collection Care",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV48",,"A public service provided to animal owners and property owners affected by roaming animals offering safe capture and detention of stray animals.","Animal Control",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV48.1",,,"Animal Registration",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV48.2",,,"Animal Patrol and Intervention",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV48.3",,,"Rodent Control",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV48.4",,,"Stray Animal Care",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV48.5",,,"Dangerous Animal Investigation and Assessment",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV49",,"A public service provided to victims of incidents and perpetrators offering reduced loss of lives, reduced loss of property, reduced injury and improved security due to incidents.","Police Patrolling and Intervention",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV49.1",,"A public service provided to potential victims and perpetrators offering protection from criminal activity through regular patrol of the community or neighbourhood.","Police Patrolling",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV49.2",,"A public service provided to victims of incidents and perpetrators offering intervention in incidents to reduce the loss of life or property due to the incident.","Police Intervention",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV50",,"A public service provided to the courts offering security of courtrooms during proceedings.","Courtroom Security",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV51",,"A public service provided to victims and their families, and youth at risk offering referral to support service providers.","Victim Support and Referral",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV52",,"A public service provided to potential employees and their prospective employers offering assurance of no criminal record of the employee.","Security Clearance / Criminal Record Checking",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV52.1",,"A public service provided to employers offering assurance that a prospective employee has no security restrictions.","Security Clearance Checking",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV52.2",,"A public service provided to employers offering assurance that a prospective employee has no criminal record.","Criminal Record Checking",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV53",,"A public service provided to students interested in crime prevention by offering training and awareness sessions.","Crime Prevention Education",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV54",,"A public service provided to utility and construction contractors / operators offering advice on the location of underground infrastructure (e.g. gas lines, water lines, buried cable, etc.) thereby allowing the contractor who is digging around the site of such buried infrastructure not to damage the infrastructure.","Utility Locating",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV55",,"A public service provided to roadway users offering convenient, safe access to public highways (roads) for the transport of people, goods and services.","Road Access and Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV55.1",,"An internal service provided to road service providers offering support in the design and construction of roads.","Roadway Design and Construction",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV55.2",,"An internal service provided to road service providers offering maintenance of roads, roadways and appurtenances.","Road Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV55.3",,"A public service provided to roadway users offering safe passage along roadways during winter conditions.","Winter Control (Road Snow and Ice Control)",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV55.4",,"An internal service provided to road service providers offering management and optimization of road infrastructure assets over their useful life.","Road Asset Lifecycle Management",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV56",,"A public service provided to parking patrons offering a period of parking typically provided in a parking space accessible on the street or off the street in a parking lot or parking facility.","Parking",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV56.1",,"A public service provided to parking patrons offering a period of parking typically provided in a parking space accessible on the street or off the street in a parking lot or parking facility.","On-Street Parking",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV56.2",,"A public service provided to parking patron (vehicle operators) offering limited time parking privileges to conveniently access business establishments.","Off-Street Parking",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV56.3",,"A public service provided to parking by-law violators and roadway users offering increased compliance with the Parking By-law.","Parking By-Law Enforcement",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV56.4",,"A public service provided to parking patron offering a period of vehicular parking in residential or commercial areas.","Parking Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV57",,"A public service provided to road users offered controlled access to the roadway by vehicles, pedestrians and bicycles.","Traffic Flow Control",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV57.1",,,"Traffic Signalization",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV57.2",,,"Intelligent Transportation System Operation",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV57.3",,,"Traffic Control/Street Signs Maintenance  ",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV57.4",,,"Traffic Control Markings Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV57.5",,,"Traffic Engineering Support",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV57.6",,"A public service provided to school aged children and their parents offering safe crossing of busy roadways adjacent to schools.","School Crossing Guard",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV58",,"A public service provided to persons wishing to occupy a portion of a public right-of-way, typically for retail use (e.g. outdoor patio), with permission to do so.","Right-of-Way Occupancy Permission",,02/22/10,,"KPMG","Active","PGSV67",,,,,,"Public"
"SV58.1",,,"Sidewalk Caf� Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV58.2",,,"On-Street Parking Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV58.3",,,"Private Drain Connection Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV58.4",,,"Hoarding Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV58.5",,,"Utility Cut Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV58.6",,,"Oversize Vehicle Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV58.7",,,"Film Permission",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV59",,"A public service provided to pedestrians offering access to sidewalks, and involves provision of safe, functional sidewalks, including placement and maintenance of access curb ramps.","Sidewalk and Pathway Access and Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV59.1",,,"Sidewalk and Pathway Design",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV59.2",,"A public service provided to pedestrians offering access to a new sidewalk.  Note, a sidewalk is typically constructed as part of a development proposal but the commissioning is acknowledging that the sidewalk constructed is to standard.","Sidewalk Commissioning",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV59.3",,,"Sidewalk Access Ramp Construction",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV59.4",,,"Trail Lighting",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV59.5",,,"Sidewalk Repair and Maintenance ",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV59.6",,,"Sidewalk Snow Clearing",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV59.7",,,"Sidewalk Asset Lifecycle Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV60",,"A public service provided to transit riders / passengers offering a scheduled transit and Para transit trips.","Transit",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV60.1",,"A public service provided to transit riders / passengers offering a scheduled transit trip.","Scheduled Transit",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV60.2",,"A public service provided to contractors offering access to transit vehicles for regular transport of people.","Contracted Transit",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV60.3",,"A public service provided to special event hosts offering access to transit vehicles for the transport of people.","Special Event Transit",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV60.4",,"An internal service provided to transit service providers offering management and optimization of transit assets  over their useful life.","Scheduled Transit Infrastructure Lifecycle Management",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV60.5",,"A public service provided to persons with mobility disabilities offering on demand transit trips to and from medical, shopping and recreational facilities thereby assisting these individuals in leading active, productive lifestyles.","Para-Transit",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV61",,"A public service provided to airport users offering access to an airport facility.","Airport",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV61.1",,"A public service provided to businesses offering a lease to access a portion of the airport facility to conduct their business.","Airport Property Leasing",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV61.2",,"A public service provided to airport users offering safety of passengers, employees and visitors as well as security of private and public property while using an airport.","Airport Security",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV61.3",,"A public service provided to airport users offering access to limited term parking spaces.","Airport Parking",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV61.4",,"A public service provided to airport users offering access to an operating airport facility.","Airport Operations",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV61.5",,"An internal service provided to the airport operator offering management of the airport assets over their lifespan.","Airport Asset Lifecycle Management",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV62",,"A public service provided to ferry passengers offering a ferry trip","Ferry",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV63",,"A public service provided to the community offering the development of partnerships to further the interests of the community.","Community Partnership Development",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV64",,"A public service provided to park / open space users offering access to parks and open space for recreation and leisure pursuits.","Parks & Open Space Access and Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV64.1",,"An internal service provided to the park & open space service providers offering assistance in the planning, design and construction of new parks and open space.","Park & Open Space Planning, Design and Construction",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV64.2",,"An internal service provided to the park & open space service providers offering assistance in the planning of new parks and open space.","Park & Open Space Planning",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV64.3",,"An internal service provided to the park & open space service providers offering assistance in the design of new parks and open space.","Park & Open Space Design",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV64.4",,"An internal service provided to the park & open space service providers offering assistance in the oversight of construction contracts to build new parks and open space.","Park & Open Space Construction Contract Management",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV64.5",,"An internal service provided to park and open space service providers offering maintenanc of parks, open space and amenities.","Park & Open Space Maintenance",,02/22/10,,"KPMG","Active",,,,,,,"Internal"
"SV64.6",,,"Allotment / Community Gardening",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV64.7",,,"Park Lighting",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV64.8",,,"Park Winter Snow Control",,02/22/10,,"KPMG","Active",,,,,,,"Public"
"SV64.9",,,"Park & Open Space Asset Lifecycle Management",,02/22/10,,"KPMG","Active",,,,,,,"Public"
