Name,Description,Output Type,Service Output Type,Volume Count - Planned,Volume Count - Actual,Volume Period Start,Volume Period End,Status,Source,From Date,To Date,Service,Process,Service Values,Sub-Outputs,Reference Documents,Initial Date,Last Change Date,Initial Time,Last Change Time,Initial Audit,Last Change Audit,GUID
Personal care,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:32 AM,10:43:32 AM,jra,jra,OP89
Pre-Application Applicable Law Reviewed,,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP115
Preliminary Project Reviewed,,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP116
Pre-school special needs funding payment,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP138
Property audited for energy consumption,,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP123
Property Development Incentive Grant / Subsidy,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP139
Property Sale Negotiated,,Service,Periods of Agreement,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP202
Property Standards By-law violation brought into compliance,,Service,Penalties & Periods of Sanction,,,,,Active,,,,"""Property Standards By-Law Enforcement""",,,,,10/28/10,10/28/10,10:43:32 AM,10:43:32 AM,jra,jra,OP188
Property Tax Reduced,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP140
Property Valuated,,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP117
Prospective Business Supported,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP20
Provincial Offence Resolved (Fine Paid),,Service,Penalties & Periods of Sanction,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP196
Psycho-social consultation,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:39 AM,10:43:39 AM,jra,jra,OP90
Public Health Care Advice,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP21
Public Health Education Lesson,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:37 AM,10:43:37 AM,jra,jra,OP101
Public Health Promotional Campaign,,Service,Advocacy & Promotional Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:32 AM,10:43:32 AM,jra,jra,OP41
Public Heatlh Inspection,,Service,Penalties & Periods of Sanction,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP197
Rabies Vaccination,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP65
Rape Incident Intervened,,Service,Interventions,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP164
Recreation Lesson,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:37 AM,10:43:37 AM,jra,jra,OP102
Recruitment Supported,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:37 AM,10:43:37 AM,jra,jra,OP30
Rehabilitation Care,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP91
Rent Supplement Payment,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:31 AM,10:43:31 AM,jra,jra,OP157
Reproductive Health Advice,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP22
Reproductive Health Campaign,,Service,Advocacy & Promotional Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP42
Reproductive Health Education Lesson,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:37 AM,10:43:37 AM,jra,jra,OP103
Rescued person or property,,Service,Interventions,,,,,Active,,,,"""Fire Rescue""",,:SV04,,,11/4/10,12/8/10,5:13:04 PM,4:37:24 PM,jra,Adminis,a9a47baa-85f4-4d03-98eb-d37101bc7972
Residential High-Rise Construction Permit Issued,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP247
Respite care,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP66
Retail Business Licence,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:28 AM,10:43:28 AM,jra,jra,OP233
Rezoning Approved,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:29 AM,10:43:29 AM,jra,jra,OP234
Right-of-Way By-law violation brought into compliance,,Service,Penalties & Periods of Sanction,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:32 AM,10:43:32 AM,jra,jra,OP189
Right-of-Way Occupancy Permit,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP235
Risk Assessed,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:37 AM,10:43:37 AM,jra,jra,OP31
Rooming House Licence,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP236
"Service Request Redirected to Police, Fire, and/or Ambulance",,Service,"Matches, Referrals & Linkages",,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP169
Service Request Redirected to Public Service Provider,,Service,"Matches, Referrals & Linkages",,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:35 AM,10:43:35 AM,jra,jra,OP170
"Service Request Taken, Referred and Fulfilled",,Service,"Matches, Referrals & Linkages",,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:35 AM,10:43:35 AM,jra,jra,OP171
Sexual Health Course,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:37 AM,10:43:37 AM,jra,jra,OP104
Sexually Transmitted Disease Control Drug,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP67
Sign By-law violation brought into compliance,,Service,Penalties & Periods of Sanction,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP190
Sign Permit Issued,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP237
Site Plan Control Approved,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:31 AM,10:43:31 AM,jra,jra,OP238
Small Business Advice,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP23
Social Housing Subsidy Payment,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP141
Special Education Lesson,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:39 AM,10:43:39 AM,jra,jra,OP108
Special needs lesson,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:22 AM,10:43:22 AM,jra,jra,OP109
Street Name,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:31 AM,10:43:31 AM,jra,jra,OP239
Subdivision Approved,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP240
Substance Misuse Advice,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP24
Substance Misuse Prevention Education Lesson,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP105
Suicide Incident Intervened,,Service,Interventions,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP165
Supportive Housing Acquired Hearing Loss Special Care Treatment,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP68
Supportive Housing Blind and Visually Impaired Special Care Treatment,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP69
Supportive Housing Dietic Care Treatment,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP70
Supportive Housing Health Lesson,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP93
Supportive Housing Medication Coordinated,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP71
Supportive Housing Nursing Care Treatment,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP72
Supportive Housing Occupational Care Treatment,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP73
Supportive Housing Pain and Symptom Consultation,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP25
Supportive Housing Personal Care,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:35 AM,10:43:35 AM,jra,jra,OP74
Supportive Housing Personal Care Treatment,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:35 AM,10:43:35 AM,jra,jra,OP75
Supportive Housing Personal Support,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP76
Supportive Housing Physician Palliative Care Lesson,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP94
Supportive Housing Physiotherapy Care Treatment,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP77
Supportive Housing Placement,,Service,"Matches, Referrals & Linkages",,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP172
Supportive Housing Psychological Care Treatment,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP78
Supportive Housing Social Care Treatment,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP79
Supportive Housing Speech - Language Pathology Care Treatment,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP80
Tax account paid (or in good standing),,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP142
Taxi Licenced (Company / Cab / Driver),,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:39 AM,10:43:39 AM,jra,jra,OP241
Temporary Sign Permit,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:22 AM,10:43:22 AM,jra,jra,OP242
Tourism Advertisement / Brochure Distributed,,Service,Advocacy & Promotional Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP43
Tow Truck Licence,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP243
Trade Show Campaign,,Service,Advocacy & Promotional Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP44
Traffic Violation (brought into compliance),,Service,Penalties & Periods of Sanction,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP198
Transit / Passenger Trip,,Service,Movements,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP177
Tuberculosis Control Drug,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:28 AM,10:43:28 AM,jra,jra,OP81
Underground Utility Line(s) Located,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP26
Value for Money Audit Recommendation,,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP124
Victim / Youth At Risk Referred,,Service,"Matches, Referrals & Linkages",,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP173
Visitor Information (package) distributed,,Service,Advocacy & Promotional Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP45
Vital Rights Registered,,Service,Periods of Permisson,,,,,Active,,,,"""Vital Rights Registration""",,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP244
Voter Registered,,Service,Periods of Permisson,,,,,Active,,,,"""Voter Registration""",,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP245
Vulnerable Adult / Senior Advice,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP27
Vulnerable Adult / Senior Education Lesson,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP106
Waste & Waste Collection By-law violation brought into compliance,,Service,Penalties & Periods of Sanction,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP191
Water Safety Inspected,,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP118
Zoning By-law violation brought into compliance,,Service,Penalties & Periods of Sanction,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP192
