Parent,Name,Aliases,Description,Service Type,Output,Output Type,Direct Client,Direct Client Service Value,Needs Category,Beneficial Client,Beneficial Client Service Value,Beneficial Client Need Category,Owner,Needs Category,Processes,Comments,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Service Type ""Types""",Service Output Types
Communications,External Communications,,An internal / enabling service offering support to the Corporation in terms of imparting information to the public about the Corporation's business activities,Internal or Enabling,External Communication Message / Communiqu_,Advisory Encounter,Corporation (department),Awareness of relevant information about municipal programs and services,,Communication Recipient,Awareness of relevant information about municipal programs and services,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications,Internal Communications,,An internal / enabling service offering support to the Corporation in terms of imparting information internally about the Corporation's business activities,Internal or Enabling,Internal Communication Message / Communiqu_,Advisory Encounter,Corporation (department),Awareness of relevant information about municipal programs and services and their workplace,,Communication Recipient,Awareness of relevant information about municipal programs and services and their workplace,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asset Access,Asset Management,"An internal / enabling service offering support to the Corporation in terms of the acquisition / construction, maintenance and/or decommissioning / disposal of assets.",Internal or Enabling,Asset Managed (Operational),Unit of Resource,Corporation (department),Improved access to municipal assets,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Access,Real Estate Access,"Real Property Management
Real Estate Management","An internal / enabling service support to the Corporation in terms of managing all aspects of real property it may own, operate and/or lease.",Internal or Enabling,Real Property Managed (square metre),Unit of Resource,Corporation (department),Improved access to real estate required to deliver programs and services,,,,,,,"Real Estate Acquisition
Real Estate Disposal",,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Access,Landfill Site Management,Waste Disposal Site Management,An internal / enabling service offering management of landfill site(s).,Internal or Enabling,Landfill Site Operated,Unit of Resource,Solid Waste Department,Improved access to a facility to dispose of garbage,,,,,,,"Design Landfill Site 
Construct Landfill Site 
Operate Landfill Site 
Monitor Landfill Site Leachate ",,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Access,Facility Access,Facility Management,"An internal / enabling service support to the Corporation in terms of managing all aspects of the facilities it may own, operate and/or lease.",Internal or Enabling,Facility Managed (square metre),Unit of Resource,Corporation (department),Improved facility access,,,,,,,"Facility Operations
Facility Maintenance
",,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Access,Office Building Access,Office Building Management,"An internal / enabling service support to the Corporation in terms of managing all aspects of the community centres it may own, operate and/or lease.",Internal or Enabling,Office Building Managed (square metre),Unit of Resource,Corporation (department),Improved office building access,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Access,Community Centre Access,Community Centre Management,"An internal / enabling service support to the Corporation in terms of managing all aspects of the office buildings it may own, operate and/or lease.",Internal or Enabling,Community Centre Managed (square metre),Unit of Resource,Corporation (department),Improved community centre access,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Access,Grounds Maintenance,Grass Cutting,"An internal / enabling service offering maintenance of grounds (i.e. lawns, gardens, walkways, etc.).",Internal or Enabling,Grounds Maintained,Unit of Resource,Corporation (department),Improved maintenance of grounds for the delivery of programs and services,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grounds Maintenance,Park Grounds Maintenance,,"An internal / enabling service offering maintenance of park grounds (i.e. lawns, gardens, walkways, etc.).",Internal or Enabling,Park Grounds Maintained,Unit of Resource,Corporation (department),Improved maintenance of grounds for the delivery of programs and services,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grounds Maintenance,Boulevard Grounds Maintenance,,"An internal / enabling service offering maintenance of boulevard grounds (i.e. lawns, gardens, etc.).",Internal or Enabling,Boulevard Grounds Maintained,Unit of Resource,Corporation (department),Improved maintenance of grounds for the delivery of programs and services,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Access,Fleet Access,Fleet Management,An internal / enabling service offering management of purchased and leased fleet.,Internal or Enabling,Fleet Managed (Operational),Unit of Resource,Corporation (department),Improved access to vehicles of many varieties,,,,,,,"Fleet Acquisition / Leasing
Fleet Maintenance
Fleet Disposal
",,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleet Access,Vehicle Access,Vehicle Management,An internal / enabling service offering management of purchased and leased vehicles.,Internal or Enabling,Vehicle Managed (Operational),Unit of Resource,Corporation (department),Improved access to vehicles,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleet Access,Truck Access,Truck Management,An internal / enabling service offering management of purchased and leased trucks,Internal or Enabling,Truck Managed (Operational),Unit of Resource,Corporation (department),Improved access to trucks,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleet Access,Bus Access,Bus Management,An internal / enabling service offering management of purchased and leased buses.,Internal or Enabling,Bus Managed (Operational),Unit of Resource,Corporation (department),Improved access to busses,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Access,Fuel Access,Fuel Management,"An internal / enabling service offering expertise in acquiring, storing and distributing fuel.",Internal or Enabling,Fuel Distributed,Unit of Resource,Corporation (department),Improved access to fuel,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Access,Inventory Control / Stores,,"An internal / enabling service offering expertise in acquiring, storing and distributing consumables, office supplies, etc.",Internal or Enabling,Commodity Distributed,Unit of Resource,Corporation (department),Improved access to business supplies,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Access,Engineering Design and Construction,,An internal / enabling service offering expertise in designing and constructing engineering projects.,Internal or Enabling,Engineering Design Constructed,Rule,Corporation (department),Improved design of engineering projects to municipal specifications,,,,,,,,"Not sure this belongs under Asset Management.  Output type for Asset Management should be a ñmanaged assetî, so this doesnÍt fit.","Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Information Technology Access,Information Technology Management,An internal / enabling service offering support to the Corporation in terms of information technology solutions.,Internal or Enabling,Information Technology Managed (Operational),Unit of Resource,Corporation (department),Improved access to information technology,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology Access,Informaton Access,Information Management,An internal / enabling service offering access to information to deliver programs and services.,Internal or Enabling,Information Accessed,Rule,Corporation (department),Improved access to information,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology Access,Business Solution Access,"Business Solution Development and Support
IT Solutions Provision",An internal / enabling service offering access to business solutions to deliver programs and services.,Internal or Enabling,Business Solution Accessed,Rule,Corporation (department),Improved access to business solutions,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology Access,Technology Infrastructure Access,IT Tool Access,An internal / enabling service offering access to information technology infrastructure to deliver programs and services.,Internal or Enabling,Information Technology Infrastructure Accessed,Rule,Corporation (department),Improved access to technology infrastructure,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Records Access,Records Management,"An internal / enabling service offering support to the Corporation in terms of classifying, scheduling, storing, retrieving and archiving records.",Internal or Enabling,Record Managed (Available),Unit of Resource,Corporation (department),Improved access to records,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emergency Management,"Emergency Management Implementation
Emergency Management Planning
","An internal / enabling service offering support to the Corporation in terms of planning for, and implementing business continuity plans and disaster recovery plans in the event of an emergency.",Internal or Enabling,Emergency Management Plan,Rule,Corporation (department),Improved response to an emergency based on a pre-defined plan,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
